timestamp,temperature,humidity,hour,day_of_week,temperature_scaled,humidity_scaled
2024-01-01 00:00:00,31.133300640999053,63.97995085277054,0,0,1.6902858027703824,1.2755796082211919
2024-01-01 00:05:00,19.621853833559285,25.56024388017692,0,0,-0.4528096181002602,-2.2363748805986705
2024-01-01 00:10:00,22.16220755008252,48.44600489572138,0,0,0.02013010080232828,-0.14438206071761506
2024-01-01 00:15:00,17.21020632746824,45.601099423865335,0,0,-0.9017879970575892,-0.4044355418459367
2024-01-01 00:20:00,20.38832007660939,42.31068499581774,0,0,-0.31011597383384226,-0.7052131018857003
2024-01-01 00:25:00,19.0784479328508,51.387645303481285,0,0,-0.5539759368925938,0.12451398374976615
2024-01-01 00:30:00,23.53882531312323,28.85234011366736,0,0,0.27641615012455795,-1.9354435863261463
2024-01-01 00:35:00,25.62491689644589,52.000004119809205,0,0,0.6647855179824889,0.18048984778499552
2024-01-01 00:40:00,20.038083894858023,31.593488389452528,0,0,-0.3753197288344275,-1.684874574997358
2024-01-01 00:45:00,23.37980142520269,72.31590052908525,0,0,0.24681054348688516,2.037570737023745
2024-01-01 00:50:00,14.91787561306306,55.61513115588553,0,0,-1.3285530717993526,0.5109494640194189
2024-01-01 00:55:00,28.456228224553094,51.28772402484522,0,0,1.1918930522330202,0.11538015606896468
2024-01-01 01:00:00,13.543071039309645,47.11222301167677,1,0,-1.584501558196281,-0.2663033777677037
2024-01-01 01:05:00,24.90037085563736,76.25707304615011,1,0,0.529896191884646,2.397834247684899
2024-01-01 01:10:00,20.025874669674444,50.44040922709769,1,0,-0.3775927302234793,0.03792691027727652
2024-01-01 01:15:00,26.464407490852896,51.64809110335582,1,0,0.8210741651727689,0.1483213958316989
2024-01-01 01:20:00,26.835634193262887,51.171298937745966,1,0,0.8901857424877584,0.10473771135846412
2024-01-01 01:25:00,30.92080171215288,52.65730756988086,1,0,1.6507247042422786,0.24057411140633472
2024-01-01 01:30:00,18.85634396978985,45.14889380346216,1,0,-0.5953252124576351,-0.4457717644146665
2024-01-01 01:35:00,21.40057278651423,55.24516515305528,1,0,-0.12166406299680299,0.47713078431742967
2024-01-01 01:40:00,25.473442706094005,53.09007394539489,1,0,0.6365854446855851,0.28013338800833987
2024-01-01 01:45:00,19.09808331184409,42.39287438750453,1,0,-0.5503204024049235,-0.6977001501790749
2024-01-01 01:50:00,18.53652935083845,41.02706218730336,1,0,-0.6548653603527956,-0.8225493659943619
2024-01-01 01:55:00,24.086686481668853,60.10851907772456,1,0,0.3784119097561048,0.9216911152602385
2024-01-01 02:00:00,30.22709389470509,39.0167848706203,2,0,1.5215765552855638,-1.006309290325227
2024-01-01 02:05:00,26.01215299442364,37.03741472702711,2,0,0.7368775774997675,-1.1872439826638976
2024-01-01 02:10:00,13.85377637497073,58.528987859996974,2,0,-1.5266572929849784,0.7773057935739859
2024-01-01 02:15:00,17.78123958686288,61.478184460012216,2,0,-0.7954782704137953,1.0468925513601448
2024-01-01 02:20:00,22.07708001423548,32.314445521317595,2,0,0.004281838171614947,-1.6189717132887465
2024-01-01 02:25:00,26.565356790831395,30.772857728655698,2,0,0.8398679785085693,-1.7598886175277837
2024-01-01 02:30:00,22.774865061930075,32.00378658233958,2,0,0.13418904840167994,-1.6473691202761065
2024-01-01 02:35:00,25.96163785094182,59.05186954152545,2,0,0.7274731321253992,0.8251025315833501
2024-01-01 02:40:00,25.00759637101149,19.574337083107537,2,0,0.5498584533486249,-2.783548034746389
2024-01-01 02:45:00,21.240224106829363,59.02066381208789,2,0,-0.151516307195438,0.8222500084848967
2024-01-01 02:50:00,20.809589085567847,56.61239751542026,2,0,-0.23168797958119122,0.6021098174915427
2024-01-01 02:55:00,28.365511668274618,52.35714363280673,2,0,1.1750042771198947,0.21313605502185234
2024-01-01 03:00:00,21.88215343966572,41.11308838238588,3,0,-0.03200780085937679,-0.8146856911831074
2024-01-01 03:05:00,19.944994951042183,55.30277953291184,3,0,-0.39265017326618007,0.48239732838821486
2024-01-01 03:10:00,15.313420365927238,41.64148986201858,3,0,-1.2549141832397692,-0.7663843871252999
2024-01-01 03:15:00,14.92097871250561,50.67351055410845,3,0,-1.3279753652506383,0.059234757636166264
2024-01-01 03:20:00,10.369966539894838,35.38599308225525,3,0,-2.1752410053216362,-1.3382008252662636
2024-01-01 03:25:00,32.80233722462373,49.65049961400117,3,0,2.0010117019093063,-0.0342789140267761
2024-01-01 03:30:00,20.761054530551128,41.3961012504177,3,0,-0.24072369718908573,-0.7888154180707398
2024-01-01 03:35:00,7.214072154423919,59.29986682274341,3,0,-2.7627764315273993,0.8477720216346364
2024-01-01 03:40:00,18.836588569843983,56.97484502071603,3,0,-0.5990030913437275,0.6352412295580909
2024-01-01 03:45:00,21.70171295245273,51.57709932748117,3,0,-0.06560055321748229,0.14183202083125693
2024-01-01 03:50:00,16.782677641807254,56.67561761688116,3,0,-0.981381360416463,0.6078887818982112
2024-01-01 03:55:00,21.39414241159616,56.56043727782296,3,0,-0.12286121112873778,0.5973601199001437
2024-01-01 04:00:00,23.159667915124217,67.43573939237834,4,0,0.20582810875726837,1.5914740548588342
2024-01-01 04:05:00,30.99211345277727,53.77974200644864,4,0,1.6640008690322403,0.34317610836383833
2024-01-01 04:10:00,23.025591992815947,45.51845300907618,4,0,0.18086708518183411,-0.41199027014229467
2024-01-01 04:15:00,39.84984912333946,38.88982797845829,4,0,3.3130527277956245,-1.0179144498240498
2024-01-01 04:20:00,32.2374540356585,51.6680294579829,4,0,1.895846938882666,0.15014396553745443
2024-01-01 04:25:00,22.68745215682355,49.185358716032056,4,0,0.11791531671595287,-0.07679755337302654
2024-01-01 04:30:00,24.29461692761785,35.63567279314839,4,0,0.41712249010512625,-1.3153775439209916
2024-01-01 04:35:00,21.2806102301187,57.4643979218519,4,0,-0.1439975897539293,0.6799913758797516
2024-01-01 04:40:00,10.693775711078793,47.94772469673236,4,0,-2.1149571883863265,-0.1899299713973569
2024-01-01 04:45:00,19.364547703509555,54.46099246390333,4,0,-0.5007125097433105,0.40544937358616967
2024-01-01 04:50:00,30.201622191204027,51.67198587019412,4,0,1.5168344675143186,0.15050562211215818
2024-01-01 04:55:00,21.421384066438705,47.52127061011457,4,0,-0.11778961007575245,-0.22891224018043946
2024-01-01 05:00:00,35.42767426634283,41.93381311011105,5,0,2.4897728356283113,-0.739663049972544
